res,expres,CODE,EDID,DTD,CVT,RB,DATE,DMTID,STDID,CVTID,VIC,HVIC,AR,HTOT,HRES,HSPD,HSPW,HSPP,SCAN,VRAT,VTOT,VRES,VSPD,VSPW,VSPP,PCLK,|,780C,780C,780C,780D 780E,780D 780E,780D 780E,780C 780D 780E,HDBASETIN1,HDMIIN1,HDMIIN2,HDMIINRX,VGAIN1,HDBASETOUT1,HDMIOUT1
960x600@60_CVR,Null,*CVR0960D,CVR0960D,1,0,0,Null,Null,Null,Null,0,Null,Null,1120,960,48,32,+,prog,59.96,618,600,3,6,-,41.5,|,x,x,x,x,x,x,,,,,,,,
960x600@60_CVT,Null,*CVT0960D,CVT0960D,1,0,0,Null,Null,Null,Null,0,Null,Null,1216,960,32,96,-,prog,59.64,624,600,3,6,+,45.25,|,x,x,x,x,x,x,,,,,,,,
960x600@75_CVT,Null,*CVT0975D,CVT0975D,1,0,0,Null,Null,Null,Null,0,Null,Null,1248,960,48,96,-,prog,74.84,629,600,3,6,+,58.75,|,x,x,x,x,x,x,,,,,,,,
960x600@85_CVT,Null,*CVT0985D,CVT0985D,1,0,0,Null,Null,Null,Null,0,Null,Null,1264,960,56,96,-,prog,84.68,633,600,3,6,+,67.75,|,x,x,x,x,x,x,,,,,,,,
1024x576@50_CVT,Null,*CVT1050_,CVT1050_,1,0,0,Null,Null,Null,Null,0,Null,Null,1280,1024,32,96,-,prog,49.81,596,576,3,5,+,38.0006,|,x,x,x,x,x,x,,,,,,,,
1024x576@60_CVR,Null,*CVR1060_,CVR1060_,1,0,0,Null,Null,Null,Null,0,Null,Null,1184,1024,48,32,+,prog,59.82,593,576,3,5,-,42,|,x,x,x,x,x,x,,,,,,,,
1024x576@60_CVT,Null,*CVT1060_,CVT1060_,1,0,0,Null,Null,Null,Null,0,Null,Null,1296,1024,40,96,-,prog,59.9,599,576,3,5,+,46.5005,|,x,x,x,x,x,x,,,,,,,,
1024x576@75_CVT,Null,*CVT1075_,CVT1075_,1,0,0,Null,Null,Null,Null,0,Null,Null,1328,1024,48,104,-,prog,74.8,604,576,3,5,+,60.0004,|,x,x,x,x,x,x,,,,,,,,
1024x576@85_CVT,Null,*CVT1085_,CVT1085_,1,0,0,Null,Null,Null,Null,0,Null,Null,1344,1024,56,104,-,prog,84.75,608,576,3,5,+,69.2496,|,x,x,x,x,x,x,,,,,,,,
1024x576@60,Null,1024x576_60Hz,1024x576,1,0,0,Null,Null,Null,Null,0,Null,Null,1320,1024,16,144,+,prog,60.06,596,576,2,4,+,47.2494,|,x,x,x,x,x,x,,,,,,,,
1024x640@50_CVT,Null,*CVT1050D,CVT1050D,1,0,0,Null,Null,Null,Null,0,Null,Null,1280,1024,32,96,-,prog,49.86,662,640,3,6,+,42.2502,|,x,x,x,x,x,x,,,,,,,,
1024x640@60_CVR,Null,*CVR1060D,CVR1060D,1,0,0,Null,Null,Null,Null,0,Null,Null,1184,1024,48,32,+,prog,59.92,659,640,3,6,-,46.7502,|,x,x,x,x,x,x,,,,,,,,
1024x640@60_CVT,Null,*CVT1060D,CVT1060D,1,0,0,Null,Null,Null,Null,0,Null,Null,1312,1024,40,104,-,prog,59.89,665,640,3,6,+,52.2504,|,x,x,x,x,x,x,,x,x,x,x,x,,
1024x640@75_CVT,Null,*CVT1075D,CVT1075D,1,0,0,Null,Null,Null,Null,0,Null,Null,1344,1024,56,104,-,prog,74.85,671,640,3,6,+,67.4997,|,x,x,x,x,x,x,,,,,,,,
1024x640@85_CVT,Null,*CVT1085D,CVT1085D,1,0,0,Null,Null,Null,Null,0,Null,Null,1360,1024,64,104,-,prog,84.7,675,640,3,6,+,77.7498,|,x,x,x,x,x,x,,,,,,,,
